原省份,原始分,百分位(%),对应山西分,Delta
河北2026物理,511,59.69900933382755,488.01448206643914,-22.985517933560857
河北2026物理,506,62.91951679751997,481.9315705092433,-24.068429490756728
河北2026物理,501,66.14297267243994,475.89977459164834,-25.100225408351662
河北2026物理,496,69.39886107086296,469.7013760162253,-26.29862398377469
河北2026物理,491,72.55660949556896,463.6457882933105,-27.35421170668951
河北2026物理,486,75.6381204299626,457.4629123433097,-28.53708765669029
河北2026物理,481,78.77607237928362,451.11132281809915,-29.888677181900846
河北2026物理,476,81.78724264581999,444.7664527795517,-31.233547220448315
河北2026物理,471,84.76935000168481,438.42364149229104,-32.57635850770896
河北2026物理,466,87.69291033460256,432.07879830846605,-33.92120169153395
河北2026物理,461,90.5187518954072,425.63502591928574,-35.36497408071426
河北2026物理,456,93.24982309532635,419.00871617423974,-36.99128382576026
河北2026物理,451,95.88359672473634,412.34193220043636,-38.65806779956364
河北2026物理,446,98.48957104828655,405.2789286924798,-40.72107130752022
浙江2026,692,0.029822582744111394,687.4891275384053,-4.5108724615946585
浙江2026,687,0.29171908211512604,672.4348759139567,-14.565124086043284
浙江2026,682,0.6864616318917277,662.0827565559904,-19.917243444009614
浙江2026,677,1.2476684162581877,652.8345411479345,-24.165458852065512
浙江2026,672,1.912440897063289,645.5471170517477,-26.452882948252295
浙江2026,667,2.717108402377131,638.7897538511572,-28.21024614884277
浙江2026,662,3.699084717824144,632.3585318155968,-29.641468184403152
浙江2026,657,4.839934064980697,625.6900748512801,-31.309925148719913
浙江2026,652,6.087602481238885,619.5784902231599,-32.42150977684014
浙江2026,647,7.545113434260182,613.0041084835503,-33.99589151644966
浙江2026,642,9.12137248948076,607.0490715507276,-34.950928449272396
浙江2026,637,10.943803409534551,600.5237338986742,-36.47626610132579
浙江2026,632,12.883355745456123,594.1111371333438,-37.888862866656154
浙江2026,627,15.061488743330587,587.3451731770782,-39.65482682292179
浙江2026,622,17.299809135470436,580.7910615608969,-41.20893843910312
浙江2026,617,19.79026590899232,574.0192121844498,-42.98078781555023
浙江2026,612,22.481889558842667,566.9909415898403,-45.009058410159696
浙江2026,607,25.305274801544268,559.7820131664259,-47.21798683357406
浙江2026,602,28.292955363727064,552.6785647947102,-49.321435205289845
浙江2026,597,31.315880796425628,545.7310567741063,-51.268943225893736
浙江2026,592,34.4998481759424,538.450184380338,-53.54981561966201
浙江2026,587,37.719602654752094,531.4206395945504,-55.57936040544962
浙江2026,582,40.96972194508307,524.7384840895741,-57.26151591042594
浙江2026,577,44.295211035440076,517.9795811240987,-59.02041887590133
浙江2026,572,47.706372272589256,511.02847936247787,-60.97152063752213
浙江2026,567,51.11048453563527,504.34310423134684,-62.65689576865316
浙江2026,562,54.50049885047499,497.77465902454145,-64.22534097545855
浙江2026,557,57.9284691797163,491.3776664952191,-65.6223335047809
浙江2026,552,61.362946254283614,484.85368991321394,-67.14631008678606
浙江2026,547,64.77519194898711,478.49488132868055,-68.50511867131945
浙江2026,542,68.28232767969462,471.8319685579163,-70.1680314420837
浙江2026,537,71.6728842233115,465.3216556361085,-71.67834436389148
浙江2026,532,75.11929033097644,458.5137588149927,-73.48624118500732
浙江2026,527,78.58738558972802,451.507540571388,-75.492459428612
浙江2026,522,82.02186266429533,444.28242457173957,-77.71757542826043
